,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,1048.25,0.0,400.5,354.0,432.0,1387.75,453.0,3.0,1.0,14.0,147.0,2311.5,2020-03-12,2044407.25,10.0,6.0,276.0,3893.749999999998,0.0,403.0,1714.0,622.25,2044081.0,333.95000000000005,2043483.5,397.75,0.0,513.05,0.0,1261.1499999999999,0.0,7.0,3.0,2041901.25,0.0,4.0,513.0,646.0,21.049999999999955,379.0,2044746.75
1,1281.7,0.0,504.5,429.0,558.25,1692.5,673.5,4.0,2.0,16.0,202.95000000000002,2794.0,2020-03-13,2044100.5,11.0,8.0,400.0,4517.699999999999,0.0,599.0,2067.0,941.25,2043725.0,489.9,2043001.0,583.75,0.0,698.05,1.0,2016.5499999999995,0.0,8.0,3.0,2041277.3,0.0,5.0,775.25,982.9999999999991,24.049999999999955,468.75,2044513.0
2,1552.75,0.0,619.5,505.95,703.0,2073.75,821.0,5.0,2.0,17.0,241.8,3427.25,2020-03-14,2043715.25,12.0,8.0,490.75,5531.699999999996,0.0,711.5,2544.0,1160.5,2043243.0,588.0,2042352.25,707.75,0.0,916.6499999999994,1.0,2431.149999999995,0.0,8.0,3.0,2040258.55,0.0,5.0,959.25,1276.4999999999995,27.049999999999955,563.0,2044234.2
3,1856.1000000000001,0.0,756.5,601.9,870.25,2472.75,997.0,5.0,2.0,19.0,265.0,4130.0,2020-03-15,2043305.0,13.0,9.0,480.5,6822.749999999987,0.0,762.5,3148.0,1203.0,2042637.5,704.85,2041628.75,849.5,0.0,1170.6999999999994,1.0,2762.2499999999986,0.0,9.0,4.0,2038960.75,0.0,6.0,1186.0,1596.3499999999997,29.049999999999955,678.0,2043909.5
4,2132.4,0.0,920.0,720.0,1072.0,2933.5,1198.0,6.0,3.0,22.0,285.80000000000007,4954.75,2020-03-16,2042831.0,16.0,11.0,568.75,8283.899999999994,0.0,924.5,3729.0,1441.25,2042036.5,827.85,2040823.0,1014.0,1.0,1482.1499999999999,1.0,3022.099999999998,0.0,10.0,5.0,2037499.3,0.0,7.0,1436.75,1986.8999999999992,35.0,822.0,2043609.65
5,2475.55,0.0,1128.5,863.85,1320.0,3540.75,1425.0,9.0,4.0,29.0,381.20000000000005,5968.25,2020-03-17,2042191.75,20.0,14.0,755.75,10012.999999999989,0.0,1165.5,4492.5,1798.5,2041264.5,965.95,2039721.25,1203.25,2.0,1826.6499999999985,2.0,3675.599999999994,1.0,13.0,6.0,2035754.2999999998,0.0,8.0,1747.75,2440.9999999999973,44.049999999999955,999.0,2043278.1
6,2946.8,0.0,1376.0,1030.95,1634.0,4368.75,1706.0,11.0,5.0,38.0,482.95000000000005,7345.0,2020-03-18,2041361.25,27.0,19.0,957.5,12381.049999999987,1.0,1484.5,5520.0,2274.0,2040217.5,1146.95,2038349.25,1429.75,3.0,2305.2999999999993,2.0,4460.09999999999,1.0,17.0,8.0,2033385.4000000001,0.0,11.0,2097.0,3112.2999999999993,60.049999999999955,1209.75,2042763.9
7,3492.25,0.0,1680.0,1221.5,2022.5,5308.0,2057.5,14.0,7.0,53.0,550.6999999999999,9265.5,2020-03-19,2040364.75,36.0,26.0,1054.75,15063.599999999946,1.0,1738.5,6949.0,2735.0,2038778.5,1333.8500000000001,2036328.0,1713.25,4.0,2914.3499999999995,3.0,5571.749999999989,2.0,24.0,10.0,2030535.15,0.0,15.0,2536.75,3881.149999999996,83.04999999999995,1453.5,2042212.3
8,4197.9,0.0,2061.0,1428.75,2525.25,6497.75,2477.5,19.0,9.0,71.0,708.9,11527.25,2020-03-20,2039182.75,49.0,35.75,1307.0,20394.499999999996,1.0,2151.5,8511.0,3326.25,2037176.5,1573.45,2034140.0,2050.75,5.0,3731.6499999999996,5.0,6913.249999999993,3.0,33.049999999999955,14.0,2025311.55,1.0,20.0,3084.0,4854.399999999993,119.0,1765.75,2041467.0
9,4918.849999999999,0.0,2545.5,1680.4,3179.25,7915.75,3000.0,27.0,12.75,97.0,804.4000000000001,14756.75,2020-03-21,2037692.25,67.0,46.75,1654.75,25944.799999999996,2.0,2688.0,10532.5,4335.75,2035013.5,1842.85,2030839.75,2458.0,6.0,4796.5,7.0,8859.099999999993,3.0,45.09999999999991,19.0,2019553.45,1.0,28.0,3677.25,5983.049999999995,161.19999999999982,2143.0,2040729.2
10,5668.3,0.0,3126.5,1990.95,3964.0,9644.25,3611.0,34.95,17.0,131.25,920.0,18826.75,2020-03-22,2035882.25,89.0,62.0,2084.75,32826.24999999996,2.0,3380.5,13084.0,5515.25,2032379.0,2196.65,2026690.75,2976.0,8.0,6100.5,9.0,11818.1,5.0,62.0,25.5,2012563.6,1.0,37.0,4547.75,7512.249999999996,220.0999999999999,2602.75,2039814.9
